review	Liked
kind hard mess steak	0
although much liked look sound place actual experience wa bit disappointing	0
know place managed served blandest food ever eaten preparing indian cuisine	0
worst service boot least worry	0
service wa fine waitress wa friendly	1
guy steak steak loving son ha steak best worst place said wa best steak ever eaten	1
thought venture away get good sushi place really hit spot night	1
host staff lack better word bitch	0
bland liking place number reason want waste time bad reviewing leave	0
phenomenal food service ambiance	1
return	0
definitely worth venturing strip pork belly return next time vega	1
place way overpriced mediocre food	0
penne vodka excellent	1
good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burger	1
management rude	0
delicious nyc bagel good selection cream cheese real lox caper even	1
great subway fact good come every subway meet expectation	1
seriously solid breakfast	1
one best bar food vega	1
wa extremely rude really many restaurant would love dine weekend vega	0
drink wa never empty made really great menu suggestion	1
	0
waiter helpful friendly rarely checked u	0
husband ate lunch disappointed food service	0
red curry much bamboo shoot tasty	0
nice blanket moz top feel like wa done cover subpar food	1
bathroom clean place well decorated	1
menu always changing food quality going service extremely slow	0
service wa little slow considering served people server food wa coming slow pace	0
give thumb	0
watched waiter pay lot attention table ignore u	0
fianc came middle day greeted seated right away	1
great restaurant mandalay bay	1
waited forty five minute vain	0
crostini came salad wa stale	0
highlight great quality nigiri	1
staff friendly joint always clean	1
wa different cut piece day still wonderful tender well well flavored	1
ordered voodoo pasta wa first time really excellent pasta since going gluten free several year ago	1
place good	1
unfortunately must hit bakery leftover day everything ordered wa stale	0
came back today since relocated still impressed	0
wa seated immediately	1
menu diverse reasonably priced	1
avoid cost	0
restaurant always full never wait	1
delicious	1
place hand one best place eat phoenix metro area	1
go looking good food	0
never treated bad	0
bacon hella salty	1
also ordered spinach avocado salad ingredient sad dressing literally zero taste	0
really vega fine dining used right menu handed lady price listed	1
waitress friendly	1
lordy khao soi dish missed curry lover	1
everything menu terrific also thrilled made amazing accommodation vegetarian daughter	1
perhaps caught night judging review inspired go back	0
service leaf lot desired	0
atmosphere modern hip maintaining touch coziness	1
weekly haunt definitely place come back every	1
literally sat minute one asking take order	0
burger absolutely flavor meat wa totally bland burger wa overcooked wa charcoal flavor	0
also decided send back waitress looked like wa verge heart attack	0
dressed treated rudely	0
wa probably dirt	0
love place hit spot want something healthy lacking quantity flavor	1
ordered lemon raspberry ice cocktail wa also incredible	1
food sucked expected sucked could imagined	0
interesting decor	1
really like crepe station	1
also served hot bread butter home made potato chip bacon bit top original good	1
watch preparing delicious food	1
egg roll fantastic	1
order arrived one gyro wa missing	0
salad wing ice cream dessert left feeling quite satisfied	1
really sure joey wa voted best hot dog valley reader phoenix magazine	0
best place go tasty bowl pho	1
live music friday totally blow	0
never insulted felt disrespected	0
friendly staff	1
worth drive	1
heard good thing place exceeding every hope could dreamed	1
food wa great wa serivce	1
warm beer help	0
great brunch spot	1
service friendly inviting	1
good lunch spot	1
lived since wa first last time stepped foot place	0
worst experience ever	0
must night place	0
side delish mixed mushroom yukon gold puree white corn beateous	1
bug never showed would given sure side wall bug wa climbing wa kitchen	0
minute waiting salad realized coming time soon	0
friend loved salmon tartar	1
go back	0
extremely tasty	1
waitress wa good though	1
soggy good	0
jamaican mojitos delicious	1
small worth price	0
food rich order accordingly	1
shower area outside rinse take full shower unless mind nude everyone see	0
service wa bit lacking	0
lobster bisque bussell sprout risotto filet needed salt pepper course none table	0
hopefully bodes going business someone cook come	0
wa either cold enough flavor bad	0
loved bacon wrapped date	1
unbelievable bargain	1
folk otto always make u feel welcome special	1
main also uninspired	0
place first pho wa amazing	1
wonderful experience made place must stop whenever town	1
food bad enough enjoy dealing world worst annoying drunk people	0
fun chef	1
ordered double cheeseburger got single patty wa falling apart picture uploaded yeah still suck	0
great place couple drink watch sporting event wall covered tv	1
possible give zero star	0
description said yum yum sauce another said eel sauce yet another said spicy mayo well none roll sauce	0
say would hardest decision honestly dish taste supposed taste amazing	1
rolled eye may stayed sure go back try	0
everyone attentive providing excellent customer service	1
horrible waste time money	0
dish wa quite flavourful	1
time side restaurant wa almost empty wa excuse	0
busy either also building wa freezing cold	0
like reviewer said pay eat place	0
drink took close minute come one point	0
seriously flavorful delight folk	1
much better ayce sushi place went vega	1
lighting dark enough set mood	1
based sub par service received effort show gratitude business going back	0
owner really great people	1
nothing privileged working eating	0
greek dressing wa creamy flavorful	1
overall think would take parent place made similar complaint silently felt	0
pizza wa good peanut sauce wa tasty	1
table service wa pretty fast	1
fantastic service	1
well would given godfather zero star possible	0
know make	1
tough short flavor	0
hope place stick around	1
bar vega ever recall charged tap water	0
restaurant atmosphere wa exquisite	1
good service clean inexpensive boot	1
seafood wa fresh generous portion	1
plus buck	1
service wa par either	0
thus far visited twice food wa absolutely delicious time	1
good year ago	1
self proclaimed coffee cafe wa wildly disappointed	0
veggitarian platter world	1
cant go wrong food	1
beat	1
stopped place madison ironman friendly kind staff	1
chef friendly good job	1
better dedicated boba tea spot even jenni pho	0
liked patio service wa outstanding	1
goat taco skimp meat wow flavor	1
think	0
mac salad wa pretty bland getting	0
went bachi burger friend recommendation wa disappointed	1
service stink	0
waited waited	0
place quality sushi quality restaurant	0
would definitely recommend wing well pizza	1
great pizza salad	1
thing went wrong burned saganaki	0
waited hour wa breakfast could done time better home	0
place amazing	1
hate disagree fellow yelpers husband disappointed place	0
waited hour never got either pizza many around u came later	0
know slow	0
staff great food delish incredible beer selection	1
live neighborhood disappointed back convenient location	0
know pulled pork could soooo delicious	1
get incredibly fresh fish prepared care	1
go gave star rating please know wa third time eating bachi burger writing review	0
love fact everything menu worth	1
never dining place	0
food wa excellent service wa good	1
good beer drink selection good food selection	1
please stay away shrimp stir fried noodle	0
potato chip order wa sad could probably count many chip box wa probably around	0
food wa really boring	0
good service check	1
greedy corporation never see another dime	0
never ever go back	0
much like go back get passed atrocious service never return	0
summer dine charming outdoor patio delightful	1
expect good	1
fantastic food	1
ordered toasted english muffin came untoasted	0
food wa good	1
never going back	0
great food price high quality house made	1
bus boy hand wa rude	0
point friend basically figured place wa joke mind making publicly loudly known	0
back good bbq lighter fare reasonable pricing tell public back old way	1
considering two u left full happy go wrong	1
bread made house	1
downside service	0
also fry without doubt worst fry ever	0
service wa exceptional food wa good review	1
couple month later returned amazing meal	1
favorite place town shawarrrrrrma	1
black eyed pea sweet potato unreal	1
disappointed	1
could serve vinaigrette may make better overall dish wa still good	1
go far many place never seen restaurant serf egg breakfast especially	0
mom got home immediately got sick bite salad	0
server pleasant deal always honor pizza hut coupon	0
truly unbelievably good glad went back	1
fantastic service pleased atmosphere	1
everything wa gross	0
love place	1
great service food	1
first bathroom location dirty seat cover replenished plain yucky	0
burger got gold standard burger wa kind disappointed	0
omg food wa delicioso	1
nothing authentic place	0
spaghetti nothing special whatsoever	0
dish salmon wa best great	1
vegetable fresh sauce feel like authentic thai	1
worth driving tucson	1
selection wa probably worst seen vega wa none	0
pretty good beer selection	1
place like chipotle better	1
classy warm atmosphere fun fresh appetizer succulent steak baseball steak	1
star brick oven bread app	1
eaten multiple time time food wa delicious	1
sat another ten minute finally gave left	0
wa terrible	0
everyone treated equally special	1
take min pancake egg	0
wa delicious	1
good side staff wa genuinely pleasant enthusiastic real treat	1
sadly gordon ramsey steak place shall sharply avoid next trip vega	0
always evening wa wonderful food delicious	1
best fish ever life	1
bathroom next door nice	1
buffet small food offered wa bland	0
outstanding little restaurant best food ever tasted	1
pretty cool would say	1
definitely turn doubt back unless someone else buying	0
server great job handling large rowdy table	1
find wasting food despicable food	0
wife lobster bisque soup wa lukewarm	0
would come back sushi craving vega	1
staff great ambiance great	1
deserves star	1
left stomach ache felt sick rest day	0
dropped ball	0
dining space tiny elegantly decorated comfortable	1
customize order way like usual eggplant green bean stir fry love	1
bean rice mediocre best	0
best taco town far	1
took back money got outta	0
interesting part town place amazing	1
rude inconsiderate management	0
staff friendly wait time served horrible one even say hi first minute	0
back	0
great dinner	1
service wa outshining definitely recommend halibut	1
food wa terrible	0
never ever go back told many people happened	0
recommend unless car break front starving	0
come back every time vega	1
place deserves one star ha food	0
disgrace	0
def coming back bowl next time	1
want healthy authentic ethic food try place	1
continue come lady night andddd date night highly recommend place anyone area	1
several time past experience ha always great	1
walked away stuffed happy first vega buffet experience	1
service wa excellent price pretty reasonable considering vega located inside crystal shopping mall aria	1
summarize food wa incredible nay transcendant nothing brings joy quite like memory pneumatic condiment dispenser	1
probably one people ever go ians like	0
kid pizza always hit lot great side dish option kiddos	1
service perfect family atmosphere nice see	1
cooked perfection service wa impeccable	1
one simply disappointment	0
overall wa disappointed quality food bouchon	0
accountant know getting screwed	0
great place eat reminds little mom pop shop san francisco bay area	1
today wa first taste buldogis gourmet hot dog tell wa ever thought possible	1
left frustrated	0
definitely soon	1
food wa really good got full petty fast	1
service wa fantastic	1
total waste time	0
know kind best iced tea	1
come hungry leave happy stuffed	1
service give star	0
assure disappointed	1
take little bad service food suck	0
gave trying eat crust teeth still sore	0
wa completely grossed	0
really enjoyed eating	1
first time going think quickly become regular	1
server wa nice even though looked little overwhelmed need stayed professional friendly end	1
dinner companion told everything wa fresh nice texture taste	1
ground right next table wa large smeared stepped tracked everywhere pile green bird poop	0
furthermore even find hour operation website	0
tried like place time think done	0
mistake wa	0
complaint	1
seriously good pizza expert connisseur topic	1
waiter wa jerk	0
strike want rushed	0
nicest restaurant owner ever come across	1
never come	0
loved biscuit	1
service quick friendly	1
ordered appetizer took minute pizza another minute	0
absolutley fantastic	1
wa huge awkward lb piece cow wa th gristle fat	0
definitely come back	1
like steiner dark feel like bar	1
wow spicy delicious	1
familiar check	1
take business dinner dollar elsewhere	0
love go back	1
anyway f restaurant ha wonderful breakfast lunch	1
nothing special	0
day week different deal delicious	1
mention combination pear almond bacon big winner	1
back	0
sauce wa tasteless	0
food delicious spicy enough sure ask spicier prefer way	1
ribeye steak wa cooked perfectly great mesquite flavor	1
think going back anytime soon	0
food wa gooodd	1
far sushi connoisseur definitely tell difference good food bad food wa certainly bad food	0
wa insulted	0
last time lunch ha bad	0
chicken wing contained driest chicken meat ever eaten	0
food wa good enjoyed every mouthful enjoyable relaxed venue couple small family group etc	1
nargile think great	1
best tater tot southwest	1
loved place	1
definitely worth paid	0
vanilla ice cream wa creamy smooth profiterole chou pastry wa fresh enough	1
im az time new spot	1
manager wa worst	0
inside really quite nice clean	1
food wa outstanding price reasonable	1
think running back carly anytime soon food	0
wa due fact took minute acknowledged another minute get food kept forgetting thing	0
love margarita	1
wa first vega buffet disappoint	1
good though	1
one note ventilation could use upgrading	0
great pork sandwich	1
waste time	0
total letdown would much rather go camelback flower shop cartel coffee	0
third cheese friend burger wa cold	0
enjoy pizza brunch	1
steak well trimmed also perfectly cooked	1
group claimed would handled u beautifully	1
loved	1
asked bill leave without eating bring either	0
place jewel la vega exactly hoping find nearly ten year living	1
seafood wa limited boiled shrimp crab leg crab leg definitely taste fresh	0
selection food wa best	0
delicious absolutely back	1
small family restaurant fine dining establishment	1
toro tartare cavier wa extraordinary liked thinly sliced wagyu white truffle	1
dont think back long time	0
wa attached gas station rarely good sign	0
awesome	1
back many time soon	1
menu much good stuff could decide	1
worse humiliated worker right front bunch horrible name calling	0
conclusion filling meal	1
daily special always hit group	1
tragedy struck	0
pancake wa also really good pretty large	1
wa first crawfish experience wa delicious	1
monster chicken fried steak egg time favorite	1
waitress wa sweet funny	1
also taste mom multi grain pumpkin pancake pecan butter amazing fluffy delicious	1
rather eat airline food seriously	0
cant say enough good thing place	1
ambiance wa incredible	1
waitress manager friendly	1
would recommend place	0
overall impressed noca	0
gyro wa basically lettuce	0
terrible service	0
thoroughly disappointed	0
much pasta love homemade hand made pasta thin pizza	1
give try happy	1
far best cheesecurds ever	1
reasonably priced also	1
everything wa perfect night	1
food good typical bar food	1
wa drive get	0
first glance lovely bakery cafe nice ambiance clean friendly staff	1
anyway think go back	0
point finger item menu order disappointed	1
oh thing beauty restaurant	1
gone go	1
greasy unhealthy meal	0
first time might last	0
burger amazing	1
similarly delivery man say word apology food wa minute late	0
wa way expensive	0
sure order dessert even need pack go tiramisu cannoli die	1
wa first time wait next	1
bartender wa also nice	1
everything wa good tasty	1
place two thumb way	1
best place vega breakfast check sat sun	1
love authentic mexican food want whole bunch interesting yet delicious meat choose need try place	1
terrible management	0
excellent new restaurant experienced frenchman	1
zero star would give zero star	0
great steak great side great wine amazing dessert	1
worst martini ever	0
steak shrimp opinion best entree gc	1
opportunity today sample amazing pizza	1
waited thirty minute seated although vacant table folk waiting	0
yellowtail carpaccio wa melt mouth fresh	1
try going back even empty	0
going eat potato found stranger hair	0
spicy enough perfect actually	1
last night wa second time dining wa happy decided go back	1
even hello right	0
dessert bit strange	0
boyfriend came first time recent trip vega could pleased quality food service	1
really recommend place go wrong donut place	1
nice ambiance	1
would recommend saving room	1
guess maybe went night wa disgraceful	0
however recent experience particular location wa good	0
know like restaurant something	0
avoid establishment	0
think restaurant suffers trying hard enough	0
tapa dish delicious	1
heart place	1
salad bland vinegrette baby green heart palm	0
two felt disgusting	0
good time	1
believe place great stop huge belly hankering sushi	1
generous portion great taste	1
never go back place never ever recommended place anyone	0
server went back forth several time even much helped	0
food wa delicious	1
hour seriously	0
consider theft	0
eew location need complete overhaul	0
recently witnessed poor quality management towards guest well	0
waited waited waited	0
also came back check u regularly excellent service	1
server wa super nice checked u many time	1
pizza tasted old super chewy good way	0
swung give try wa deeply disappointed	0
service wa good company wa better	1
staff also friendly efficient	1
service fan quick served nice folk	1
boy wa sucker dry	0
rated	0
look authentic thai food go else	0
steak recommended	1
pulled car waited another minute acknowledged	0
great food great service clean friendly setting	1
assure back	1
hate thing much cheap quality black olive	0
breakfast wa perpared great beautiful presentation giant slice toast lightly dusted powdered sugar	1
kid play area nasty	0
great place fo take eat	1
waitress wa friendly happy accomodate vegan veggie option	1
omg felt like never eaten thai food dish	1
wa extremely crumby pretty tasteless	0
wa pale color instead nice char ha flavor	0
crouton also taste homemade extra plus	1
got home see driest damn wing ever	0
regular stop trip phoenix	1
really enjoyed crema caf expanded even told friend best breakfast	1
good money	0
miss wish one philadelphia	1
got sitting fairly fast ended waiting minute place order another minute food arrived	0
also best cheese crisp town	1
good value great food great service	1
ask satisfying meal	1
food good	1
wa awesome	1
wanted leave	0
made drive way north scottsdale wa one bit disappointed	1
eating	0
owner really really need quit soooooo cheap let wrap freaking sandwich two paper one	0
checked place couple year ago wa impressed	0
chicken got wa definitely reheated wa ok wedge cold soggy	0
sorry getting food anytime soon	0
absolute must visit	1
cow tongue cheek taco amazing	1
friend like bloody mary	0
despite hard rate business actually rare give star	0
really want make experience good one	1
return	0
chicken pho tasted bland	0
disappointing	0
grilled chicken wa tender yellow saffron seasoning	1
drive thru mean want wait around half hour food somehow end going make u wait wait	0
pretty awesome place	1
ambience perfect	1
best luck rude non customer service focused new management	0
grandmother make roasted chicken better one	0
asked multiple time wine list time ignored went hostess got one	0
staff always super friendly helpful especially cool bring two small boy baby	1
four star food guy blue shirt great vibe still letting u eat	1
roast beef sandwich tasted really good	1
evening drastically sick	0
high quality chicken chicken caesar salad	1
ordered burger rare came done	0
promptly greeted seated	1
tried go lunch wa madhouse	0
wa proven dead wrong sushi bar quality great service fast food impeccable	1
waiting hour seated wa greatest mood	0
good joint	1
macarons insanely good	1
eating	0
waiter wa attentive friendly informative	1
maybe cold would somewhat edible	0
place ha lot promise fails deliver	0
bad experience	0
mistake	0
food wa average best	0
great food	1
going back anytime soon	0
disappointed ordered big bay plater	0
great place relax awesome burger beer	1
perfect sit family meal get together friend	1
much flavor poorly constructed	0
patio seating wa comfortable	1
fried rice wa dry well	0
hand favorite italian restaurant	1
scream legit book somethat also pretty rare vega	1
wa fun experience	1
atmosphere wa great lovely duo violinist playing song requested	1
personally love hummus pita baklava falafel baba ganoush amazing eggplant	1
convenient since staying mgm	1
owner super friendly staff courteous	1
great	1
eclectic selection	1
sweet potato tot good onion ring perfection close	1
staff wa attentive	1
chef wa generous time even came around twice take picture	1
owner used work nobu place really similar half price	1
google mediocre imagine smashburger pop	0
dont go	0
promise disappoint	1
sushi lover avoid place mean	0
great double cheeseburger	1
awesome service food	1
fantastic neighborhood gem	1
wait go back	1
plantain worst ever tasted	0
great place highly recommend	1
service wa slow attentive	0
gave star giving star	1
staff spends time talking	0
dessert panna cotta wa amazing	1
good food great atmosphere	1
damn good steak	1
total brunch fail	0
price reasonable flavor spot sauce home made slaw drenched mayo	1
decor nice piano music soundtrack pleasant	1
steak wa amazing rge fillet relleno wa best seafood plate ever	1
good food good service	1
wa absolutely amazing	1
probably back honest	0
definitely back	1
sergeant pepper beef sandwich auju sauce excellent sandwich well	1
hawaiian breeze mango magic pineapple delight smoothy tried far good	1
went lunch service wa slow	0
much say place walked expected amazing wa quickly disappointed	0
wa mortified	0
needle say never back	0
anyways food wa definitely filling price pay expect	0
chip came dripping grease mostly edible	0
really impressed strip steak	0
going since every meal ha awesome	1
server wa nice attentive serving staff	1
cashier wa friendly even brought food	1
work hospitality industry paradise valley refrained recommending cibo longer	0
atmosphere fun	1
would recommend others	0
service quick even go order like like	1
mean really get famous fish chip terrible	0
said mouth belly still quite pleased	1
thing	0
thumb	1
reading please go	0
loved grilled pizza reminded legit italian pizza	1
pro large seating area nice bar area great simple drink menu best brick oven pizza homemade dough	1
really nice atmosphere	1
tonight elk filet special sucked	0
one bite wa hooked	1
ordered old classic new dish going time sorely disappointed everything	0
cute quaint simple honest	1
chicken wa deliciously seasoned perfect fry outside moist chicken inside	1
food wa great always compliment chef	1
special thanks dylan recommendation order yummy tummy	1
awesome selection beer	1
great food awesome service	1
one nice thing wa added gratuity bill since party wa larger expect tip	1
fly wa apple juice fly	0
han nan chicken wa also tasty	1
service thought wa good	1
food wa barely lukewarm must sitting waiting server bring u	0
ryan bar definitely one edinburgh establishment revisiting	0
nicest chinese restaurant	1
overall like food service	1
also serve indian naan bread hummus spicy pine nut sauce wa world	1
probably never coming back recommend	0
friend pasta also bad barely touched	0
try airport experience tasty food speedy friendly service	1
love decor chinese calligraphy wall paper	1
never anything complain	1
restaurant clean ha family restaurant feel	1
wa way fried	0
sure long stood wa long enough begin feel awkwardly place	0
opened sandwich wa impressed good way	0
back	0
wa warm feeling service felt like guest special treat	1
extensive menu provides lot option breakfast	1
always order vegetarian menu dinner ha wide array option choose	1
watched price inflate portion get smaller management attitude grow rapidly	0
wonderful lil tapa ambience made feel warm fuzzy inside	1
got enjoy seafood salad fabulous vinegrette	1
wonton thin thick chewy almost melt mouth	1
level spicy wa perfect spice whelm soup	1
sat right time server get go wa fantastic	1
main thing enjoy crowd older crowd around mid	0
side town definitely spot hit	1
wait minute get drink longer get arepas	0
great place eat	1
jalapeno bacon soooo good	1
service wa poor thats nice	0
food wa good service wa good price good	1
place wa clean food oh stale	0
chicken dish ok beef like shoe leather	0
service wa beyond bad	0
happy	1
tasted like dirt	0
one place phoenix would definately go back	1
block wa amazing	1
close house low key non fancy affordable price good food	1
hot sour egg flower soup absolutely star	1
sashimi wa poor quality soggy tasteless	0
great time family dinner sunday night	1
food tasty say real traditional hunan style	0
bother wa slow service	0
flair bartender absolutely amazing	1
frozen margarita way sugary taste	0
good ordered twice	1
nutshell restaraunt smell like combination dirty fish market sewer	0
girlfriend veal wa bad	0
unfortunately wa good	0
pretty satifying experience	1
join club get awesome offer via email	1
perfect someone like beer ice cold case even colder	1
bland flavorless good way describing barely tepid meat	0
chain fan beat place easily	0
nacho must	1
coming back	0
many word say place doe everything pretty well	1
staff super nice quick even crazy crowd downtown jury lawyer court staff	1
great atmosphere friendly fast service	1
received pita wa huge lot meat thumb	1
food arrives meh	0
paying hot dog fry look like came kid meal wienerschnitzel idea good meal	0
classic maine lobster roll wa fantastic	1
brother law work mall ate day guess wa sick night	0
good going review place twice hereas tribute place tribute event held last night	1
chip salsa really good salsa wa fresh	1
place great	1
mediocre food	0
get inside impressed place	1
super pissd	0
service wa super friendly	1
sad little vegetable overcooked	0
place wa nice surprise	1
golden crispy delicious	1
high hope place since burger cooked charcoal grill unfortunately taste fell flat way flat	0
could eat bruschetta day devine	1
single employee came see ok even needed water refill finally served u food	0
lastly mozzarella stick best thing ordered	1
first time ever came amazing experience still tell people awesome duck wa	1
server wa negligent need made u feel unwelcome would suggest place	0
service wa terrible though	0
place overpriced consistent boba really overpriced	0
wa packed	0
love place	1
say dessert yummy	1
food wa terrible	0
seasonal fruit wa fresh white peach puree	1
kept getting worse worse officially done	0
place honestly blown	0
definitely would eat	0
waste money	0
love put food nice plastic container opposed cramming little paper takeout box	1
cr pe wa delicate thin moist	1
awful service	0
ever go	0
food quality ha horrible	0
price think place would much rather gone	0
service fair best	0
love sushi found kabuki priced hip service	0
favor stay away dish	0
poor service	0
one table thought food wa average worth wait	0
best service food ever maria server wa good friendly made day	1
excellent	1
paid bill tip felt server terrible job	0
lunch great experience	1
never bland food surprised considering article read focused much spice flavor	0
food way overpriced portion fucking small	0
recently tried caballero back every week since	1
buck head really expect better food	0
food came good pace	1
ate twice last visit especially enjoyed salmon salad	1
back	0
could believe dirty oyster	0
place deserves star	0
would recommend place	0
fact going round star wa awesome	1
disbelief dish qualified worst version food ever tasted	0
bad day low tolerance rude customer service people job nice polite wash dish otherwise	0
potato great wa biscuit	1
probably would go	0
flavorful ha perfect amount heat	1
price reasonable service great	1
wife hated meal coconut shrimp friend really enjoy meal either	0
fella got huevos rancheros look appealing	0
went happy hour great list wine	1
may say buffet pricey think get pay place getting quite lot	1
probably coming back	0
worst food service	0
place pretty good nice little vibe restaurant	1
talk great customer service course back	1
hot dish hot cold dish close room temp watched staff prepare food bare hand glove everything deep fried oil	0
love fry bean	1
always pleasure dealing	1
plethora salad sandwich everything tried get seal approval	1
place awesome want something light healthy summer	1
sushi strip place go	1
service wa great even manager came helped table	1
feel dining room wa college cooking course high class dining service wa slow best	0
started review two star editing give one	0
worst sushi ever eat besides costco	0
excellent restaurant highlighted great service unique menu beautiful setting	1
boyfriend sat bar completely delightful experience	1
weird vibe owner	0
wa hardly meat	0
better bagel grocery store	0
go place gyro	1
love owner chef one authentic japanese cool dude	1
burger good pizza used amazing doughy flavorless	0
found six inch long piece wire salsa	0
service wa terrible food wa mediocre	0
definately enjoyed	1
ordered albondigas soup wa warm tasted like tomato soup frozen meatball	0
three different occasion asked well done medium well three time got bloodiest piece meat plate	0
two bite refused eat anymore	0
service wa extremely slow	0
minute wait got table	0
seriously killer hot chai latte	1
allergy warning menu waitress absolutely clue meal contain peanut	0
boyfriend tried mediterranean chicken salad fell love	1
rotating beer tap also highlight place	1
pricing bit concern mellow mushroom	0
worst thai ever	0
stay vega must get breakfast least	1
want first say server wa great perfect service	1
pizza selection good	1
strawberry tea wa good	1
highly unprofessional rude loyal patron	0
overall great experience	1
spend money elsewhere	0
regular toasted bread wa equally satisfying occasional pat butter mmmm	1
buffet bellagio wa far anticipated	0
drink weak people	0
order wa correct	0
also feel like chip bought made house	0
disappointing dinner went elsewhere dessert	0
chip sals amazing	1
returning	0
new fav vega buffet spot	1
seriously cannot believe owner ha many unexperienced employee running around like chicken head cut	0
sad	0
felt insulted disrespected could talk judge another human like	0
call steakhouse properly cook steak understand	0
impressed concept food	0
thing crazy wa guacamole like pur ed	0
really nothing postinos hope experience better	0
got food poisoning buffet	0
brought fresh batch fry wa thinking yay something warm	0
hilarious yummy christmas eve dinner remember wa biggest fail entire trip u	0
needle say going back anytime soon	0
place disgusting	0
every time eat see caring teamwork professional degree	1
ri style calamari wa joke	0
however wa much garlic fondue wa barely edible	0
could barely stomach meal complain wa business lunch	0
wa bad lost heart finish	0
also took forever bring u check asked	0
one make scene restaurant get definitely lost love one	0
disappointing experience	0
food par denny say good	0
want wait mediocre food downright terrible service place	0
waaaaaayyyyyyyyyy rated saying	0
going back	0
place wa fairly clean food simply worth	0
place lacked style	0
sangria wa half glass wine full wa ridiculous	0
bother coming	0
meat wa pretty dry sliced brisket pulled pork	0
building seems pretty neat bathroom pretty trippy eat	0
wa equally awful	0
probably hurry go back	0
slow seating even reservation	0
good stretch imagination	0
cashew cream sauce wa bland vegetable undercooked	0
chipolte ranch dipping sause wa tasteless seemed thin watered heat	0
wa bit sweet really spicy enough lacked flavor	0
wa disappointed	0
place horrible way overpriced	0
maybe vegetarian fare twice thought wa average best	0
busy know	0
table outside also dirty lot time worker always friendly helpful menu	0
ambiance feel like buffet setting douchey indoor garden tea biscuit	0
con spotty service	0
