review	Liked
far sushi connoisseur definit tell differ good food bad food thi wa certainli bad food	0
wa insult	0
last time lunch ha bad	0
chicken wing contain driest chicken meat ever eaten	0
food wa veri good enjoy everi mouth enjoy relax venu coupl small famili group etc	1
nargil think great	1
best tater tot southwest	1
love place	1
definit worth paid	0
vanilla ice cream wa creami smooth profiterol choux pastri wa fresh enough	1
im az time new spot	1
manag wa worst	0
insid realli quit nice veri clean	1
food wa outstand price veri reason	1
think run back carli anytim soon food	0
thi wa due fact took minut acknowledg anoth minut get food kept forget thing	0
love margarita	1
thi wa first onli vega buffet disappoint	1
veri good though	1
one note ventil could use upgrad	0
great pork sandwich	1
wast time	0
total letdown would much rather go camelback flower shop cartel coffe	0
third chees friend burger wa cold	0
enjoy pizza brunch	1
steak well trim also perfectli cook	1
group claim would onli handl us beauti	1
love	1
ask bill leav without eat bring either	0
thi place jewel la vega exactli hope find nearli ten year live	1
seafood wa limit boil shrimp crab leg crab leg definit tast fresh	0
select food wa best	0
delici absolut back	1
thi small famili restaur thi fine dine establish	1
toro tartar cavier wa extraordinari like thinli slice wagyu white truffl	1
dont think back veri long time	0
wa attach ga station rare good sign	0
awesom	1
back mani time soon	1
menu much good stuff could decid	1
wors humili hi worker right front bunch horribl name call	0
conclus veri fill meal	1
daili special alway hit group	1
tragedi struck	0
pancak wa also realli good pretti larg	1
thi wa first crawfish experi wa delici	1
monster chicken fri steak egg time favorit	1
waitress wa sweet funni	1
also tast mom multi grain pumpkin pancak pecan butter amaz fluffi delici	1
rather eat airlin food serious	0
cant say enough good thing thi place	1
ambianc wa incred	1
waitress manag friendli	1
would recommend thi place	0
overal veri impress noca	0
gyro wa basic lettuc onli	0
terribl servic	0
thoroughli disappoint	0
much pasta love homemad hand made pasta thin pizza	1
give tri happi	1
far best cheesecurd ever	1
reason price also	1
everyth wa perfect night	1
food veri good typic bar food	1
wa drive get	0
first glanc love bakeri cafe nice ambianc clean friendli staff	1
anyway think go back	0
point finger ani item menu order disappoint	1
oh thi thing beauti thi restaur	1
gone go	1
greasi unhealthi meal	0
first time might last	0
burger amaz	1
similarli deliveri man say word apolog food wa minut late	0
wa way expens	0
sure order dessert even need pack go tiramisu cannoli die	1
thi wa first time wait next	1
bartend wa also nice	1
everyth wa good tasti	1
thi place two thumb way	1
best place vega breakfast check sat sun	1
love authent mexican food want whole bunch interest yet delici meat choos need tri thi place	1
terribl manag	0
excel new restaur experienc frenchman	1
zero star would give zero star	0
great steak great side great wine amaz dessert	1
worst martini ever	0
steak shrimp opinion best entre gc	1
opportun today sampl amaz pizza	1
wait thirti minut seat although vacant tabl onli folk wait	0
yellowtail carpaccio wa melt mouth fresh	1
tri go back even empti	0
go eat potato found stranger hair	0
spici enough perfect actual	1
last night wa second time dine wa happi decid go back	1
even hello right	0
dessert bit strang	0
boyfriend came first time recent trip vega could pleas qualiti food servic	1
realli recommend thi place go wrong thi donut place	1
nice ambianc	1
would recommend save room thi	1
guess mayb went night wa disgrac	0
howev recent experi thi particular locat wa good	0
know thi like restaur someth veri	0
avoid thi establish	0
think thi restaur suffer tri hard enough	0
tapa dish delici	1
heart thi place	1
salad bland vinegrett babi green heart palm	0
two felt disgust	0
good time	1
believ thi place great stop huge belli hanker sushi	1
gener portion great tast	1
never go back thi place never ever recommend thi place anyon	0
server went back forth sever time even much help	0
food wa delici	1
hour serious	0
consid thi theft	0
eew thi locat need complet overhaul	0
recent wit poor qualiti manag toward guest well	0
wait wait wait	0
also came back check us regularli excel servic	1
server wa super nice check us mani time	1
pizza tast old super chewi good way	0
swung give tri wa deepli disappoint	0
servic wa good compani wa better	1
staff also veri friendli effici	1
servic fan becaus quick serv nice folk	1
boy wa sucker dri	0
rate	0
look authent thai food go els	0
steak recommend	1
pull car wait anoth minut befor acknowledg	0
great food great servic clean friendli set	1
assur back	1
hate thing much cheap qualiti black oliv	0
breakfast wa perpar great beauti present giant slice toast lightli dust powder sugar	1
kid play area nasti	0
great place fo take eat	1
waitress wa friendli happi accomod vegan veggi option	1
omg felt like never eaten thai food thi dish	1
wa extrem crumbi pretti tasteless	0
wa pale color instead nice char ha flavor	0
crouton also tast homemad extra plu	1
got home see driest damn wing ever	0
regular stop trip phoenix	1
realli enjoy crema caf befor expand even told friend best breakfast	1
good money	0
miss wish one philadelphia	1
got sit fairli fast end wait minut place order anoth minut befor food arriv	0
also best chees crisp town	1
good valu great food great servic	1
ask satisfi meal	1
food good	1
wa awesom	1
want leav	0
made drive way north scottsdal wa one bit disappoint	1
eat	0
owner realli realli need quit soooooo cheap let wrap freak sandwich two paper one	0
check thi place coupl year ago wa impress	0
chicken got wa definit reheat wa onli ok wedg cold soggi	0
sorri get food anytim soon	0
absolut must visit	1
cow tongu cheek taco amaz	1
friend like hi bloodi mari	0
despit hard rate busi actual rare give star	0
realli want make experi good one	1
return	0
chicken pho tast veri bland	0
veri disappoint	0
grill chicken wa tender yellow saffron season	1
drive thru mean want wait around half hour food somehow end go make us wait wait	0
pretti awesom place	1
ambienc perfect	1
best luck rude non custom servic focus new manag	0
ani grandmoth make roast chicken better thi one	0
ask multipl time wine list time ignor went hostess got one	0
staff alway super friendli help especi cool bring two small boy babi	1
four star food guy blue shirt hi great vibe still let us eat	1
roast beef sandwich tast realli good	1
even drastic sick	0
high qualiti chicken chicken caesar salad	1
order burger rare came done	0
promptli greet seat	1
tri go lunch wa madhous	0
wa proven dead wrong thi sushi bar onli becaus qualiti great servic fast food impecc	1
wait hour seat wa greatest mood	0
thi good joint	1
macaron insan good	1
eat	0
waiter wa veri attent friendli inform	1
mayb cold would somewhat edibl	0
thi place ha lot promis fail deliv	0
veri bad experi	0
mistak	0
food wa averag best	0
great food	1
go back anytim soon	0
veri veri disappoint order big bay plater	0
great place relax awesom burger beer	1
perfect sit famili meal get togeth friend	1
much flavor veri poorli construct	0
patio seat wa veri comfort	1
fri rice wa dri well	0
hand favorit italian restaur	1
scream legit book somethat also pretti rare vega	1
wa fun experi	1
atmospher wa great love duo violinist play song request	1
person love hummu pita baklava falafel baba ganoush amaz eggplant	1
veri conveni sinc stay mgm	1
owner super friendli staff courteou	1
great	1
eclect select	1
sweet potato tot good onion ring perfect close	1
staff wa veri attent	1
chef wa gener hi time even came around twice take pictur	1
owner use work nobu thi place realli similar half price	1
googl mediocr imagin smashburg pop	0
dont go	0
promis disappoint	1
sushi lover avoid thi place mean	0
great doubl cheeseburg	1
awesom servic food	1
fantast neighborhood gem	1
wait go back	1
plantain worst ever tast	0
great place highli recommend	1
servic wa slow attent	0
gave star give star	1
staff spend time talk themselv	0
dessert panna cotta wa amaz	1
veri good food great atmospher	1
damn good steak	1
total brunch fail	0
price veri reason flavor spot sauc home made slaw drench mayo	1
decor nice piano music soundtrack pleasant	1
steak wa amaz rge fillet relleno wa best seafood plate ever	1
good food good servic	1
wa absolut amaz	1
probabl back honest	0
definit back	1
sergeant pepper beef sandwich auju sauc excel sandwich well	1
hawaiian breez mango magic pineappl delight smoothi tri far good	1
went lunch servic wa slow	0
much say place befor walk expect amaz wa quickli disappoint	0
wa mortifi	0
needless say never back	0
anyway food wa definit fill price pay expect	0
chip came drip greas mostli edibl	0
realli impress strip steak	0
go sinc everi meal ha awesom	1
server wa veri nice attent serv staff	1
cashier wa friendli even brought food	1
work hospit industri paradis valley refrain recommend cibo ani longer	0
atmospher fun	1
would recommend	0
servic quick even go order like like	1
mean realli get famou fish chip terribl	0
said mouth belli still quit pleas	1
thing	0
thumb	1
read thi pleas go	0
love grill pizza remind legit italian pizza	1
onli pro larg seat area nice bar area great simpl drink menu best brick oven pizza homemad dough	1
realli nice atmospher	1
tonight elk filet special suck	0
one bite wa hook	1
order old classic new dish go time sore disappoint everyth	0
cute quaint simpl honest	1
chicken wa delici season perfect fri outsid moist chicken insid	1
food wa great alway compliment chef	1
special thank dylan recommend order yummi tummi	1
awesom select beer	1
great food awesom servic	1
one nice thing wa ad gratuiti bill sinc parti wa larger expect tip	1
fli wa appl juic fli	0
han nan chicken wa also veri tasti	1
servic thought wa good	1
food wa bare lukewarm must sit wait server bring us	0
ryan bar definit one edinburgh establish revisit	0
nicest chines restaur	1
overal like food servic	1
also serv indian naan bread hummu spici pine nut sauc wa thi world	1
probabl never come back recommend	0
friend pasta also bad bare touch	0
tri airport experi tasti food speedi friendli servic	1
love decor chines calligraphi wall paper	1
never anyth complain	1
restaur veri clean ha famili restaur feel	1
wa way fri	0
sure long stood wa long enough begin feel awkwardli place	0
open sandwich wa impress good way	0
back	0
wa warm feel servic felt like guest special treat	1
extens menu provid lot option breakfast	1
alway order vegetarian menu dure dinner ha wide array option choos	1
watch price inflat portion get smaller manag attitud grow rapidli	0
wonder lil tapa ambienc made feel warm fuzzi insid	1
got enjoy seafood salad fabul vinegrett	1
wonton thin thick chewi almost melt mouth	1
level spici wa perfect spice whelm soup	1
sat right time server get go wa fantast	1
main thing enjoy crowd older crowd around mid	0
thi side town thi definit spot hit	1
wait minut get drink longer get arepa	0
thi great place eat	1
jalapeno bacon soooo good	1
servic wa poor nice	0
food wa good servic wa good price good	1
place wa clean food oh stale	0
chicken dish ok beef like shoe leather	0
servic wa beyond bad	0
happi	1
tast like dirt	0
one place phoenix would defin go back	1
block wa amaz	1
close hous low key non fanci afford price good food	1
hot sour egg flower soup absolut star	1
sashimi wa poor qualiti soggi tasteless	0
great time famili dinner sunday night	1
food tasti say real tradit hunan style	0
bother wa slow servic	0
flair bartend absolut amaz	1
frozen margarita way sugari tast	0
good order twice	1
nutshel restaraunt smell like combin dirti fish market sewer	0
girlfriend veal wa veri bad	0
unfortun wa good	0
pretti satifi experi	1
join club get awesom offer via email	1
perfect someon onli like beer ice cold thi case even colder	1
bland flavorless good way describ bare tepid meat	0
chain fan beat thi place easili	0
nacho must	1
come back	0
veri mani word say thi place doe everyth pretti well	1
staff super nice veri quick even crazi crowd downtown juri lawyer court staff	1
great atmospher friendli fast servic	1
receiv pita wa huge lot meat thumb	1
onc food arriv meh	0
pay hot dog fri look like came kid meal wienerschnitzel idea good meal	0
classic main lobster roll wa fantast	1
brother law work mall ate day guess wa sick night	0
good go review thi place twice onc herea tribut place onc tribut event held last night	1
chip salsa realli good salsa wa veri fresh	1
thi place great	1
mediocr food	0
onc get insid impress place	1
super pissd	0
servic wa super friendli	1
whi sad littl veget overcook	0
thi place wa nice surpris	1
golden crispi delici	1
high hope thi place sinc burger cook charcoal grill unfortun tast fell flat way flat	0
could eat bruschetta day devin	1
singl employe came see ok even need water refil onc final serv us food	0
lastli mozzarella stick best thing order	1
first time ever came amaz experi still tell peopl awesom duck wa	1
server wa veri neglig need made us feel veri unwelcom would suggest thi place	0
servic wa terribl though	0
thi place overpr consist boba realli overpr	0
wa pack	0
love thi place	1
say dessert yummi	1
food wa terribl	0
season fruit wa fresh white peach pure	1
kept get wors wors offici done	0
thi place honestli blown	0
definit would eat	0
wast money	0
love put food nice plastic contain oppos cram littl paper takeout box	1
cr pe wa delic thin moist	1
aw servic	0
ever go	0
food qualiti ha horribl	0
price think place would much rather gone	0
servic fair best	0
love sushi found kabuki price hip servic	0
favor stay away thi dish	0
veri poor servic	0
one tabl thought food wa abov averag worth wait	0
best servic food ever maria server wa good friendli made day	1
excel	1
paid bill tip becaus felt server terribl job	0
lunch great experi	1
never bland food surpris consid articl read focus much spice flavor	0
food way overpr portion fuck small	0
recent tri caballero back everi week sinc	1
buck head realli expect better food	0
food came good pace	1
ate twice last visit especi enjoy salmon salad	1
back	0
could believ dirti oyster	0
thi place deserv star	0
would recommend thi place	0
fact go round star becaus wa awesom	1
disbelief dish qualifi worst version food ever tast	0
bad day veri low toler rude custom servic peopl job nice polit wash dish otherwis	0
potato great wa biscuit	1
probabl would go	0
flavor ha perfect amount heat	1
price reason servic great	1
wife hate meal coconut shrimp friend realli enjoy meal either	0
fella got huevo ranchero look appeal	0
went happi hour great list wine	1
may say thi buffet pricey think get pay thi place get quit lot	1
probabl come back	0
worst food servic	0
thi place pretti good nice littl vibe restaur	1
talk great custom servic cours back	1
hot dish hot cold dish close room temp watch staff prepar food bare hand glove everyth deep fri oil	0
love fri bean	1
alway pleasur deal	1
plethora salad sandwich everyth tri get seal approv	1
thi place awesom want someth light healthi dure summer	1
sushi strip thi place go	1
servic wa great even manag came help tabl	1
feel dine room wa colleg cook cours high class dine servic wa slow best	0
start thi review two star edit give onli one	0
thi worst sushi ever eat besid costco	0
excel restaur highlight great servic uniqu menu beauti set	1
boyfriend sat bar complet delight experi	1
weird vibe owner	0
wa hardli ani meat	0
better bagel groceri store	0
go place gyro	1
love owner chef hi one authent japanes cool dude	1
burger good pizza use amaz doughi flavorless	0
found six inch long piec wire salsa	0
servic wa terribl food wa mediocr	0
defin enjoy ourselv	1
order albondiga soup wa warm tast like tomato soup frozen meatbal	0
three differ occas ask well done medium well three time got bloodiest piec meat plate	0
two bite refus eat anymor	0
servic wa extrem slow	0
minut wait got tabl	0
serious killer hot chai latt	1
allergi warn menu waitress absolut clue meal contain peanut	0
boyfriend tri mediterranean chicken salad fell love	1
rotat beer tap also highlight thi place	1
price bit concern mellow mushroom	0
worst thai ever	0
stay vega must get breakfast least onc	1
want first say server wa great perfect servic	1
pizza select good	1
strawberri tea wa good	1
highli unprofession rude loyal patron	0
overal great experi	1
spend money elsewher	0
regular toast bread wa equal satisfi occasion pat butter mmmm	1
buffet bellagio wa far anticip	0
drink weak peopl	0
order wa correct	0
also feel like chip bought made hous	0
disappoint dinner went elsewher dessert	0
chip sal amaz	1
return	0
thi new fav vega buffet spot	1
serious cannot believ owner ha mani unexperienc employe run around like chicken head cut	0
veri veri sad	0
felt insult disrespect could talk judg anoth human like	0
call steakhous properli cook steak understand	0
impress concept food	0
onli thing crazi wa guacamol like pur ed	0
realli noth postino hope experi better	0
got food poison buffet	0
brought fresh batch fri wa think yay someth warm	0
hilari yummi christma eve dinner rememb wa biggest fail entir trip us	0
needless say go back anytim soon	0
thi place disgust	0
everi time eat see care teamwork profession degre	1
ri style calamari wa joke	0
howev wa much garlic fondu wa bare edibl	0
could bare stomach meal complain becaus wa busi lunch	0
wa bad lost heart finish	0
